capture,platform,addr_to_config_ms,config_to_first_ms,addr_to_first_ms,addr_to_status_ms
capture_2026-08-13_linux_power-on2,Linux,46.6,43.9,90.5,93.8
capture_2026-08-13_linux_power-on2,Linux,46.1,0.1,46.3,49.3
capture_2026-08-13_linux_power-on2,Linux,46.0,0.1,46.1,49.2
capture_2026-08-13_linux_power-on,Linux,46.9,0.3,47.1,56.2
capture_2026-08-13_macos_poweron_96k,macOS,1045.9,1.6,1047.5,1154.4
capture_2026-08-13_macos_poweron_96k,macOS,2045.7,1.8,2047.5,2154.8
capture_2026-08-13_macos_poweron_96k,macOS,2045.9,1.7,2047.6,2153.1
capture_2026-08-13_macos_poweron_96k,macOS,1044.8,1.5,1046.3,1154.1
capture_2026-08-13_macos_poweron_96k,macOS,1045.6,0.8,1046.4,1151.7
capture_2026-08-13_macos_poweron_96k,macOS,2042.3,1.3,2043.6,2149.9
capture_2026-08-13_macos_poweron,macOS,1048.8,1.7,1050.5,1160.4
capture_2026-08-13_macos_poweron,macOS,1044.0,1.5,1045.4,1150.3
capture_2026-08-13_macos_poweron,macOS,2044.7,0.8,2045.4,2149.5
capture_2026-08-13_macos_poweron,macOS,1044.9,1.5,1046.4,1151.3
capture_2026-08-13_macos_poweron,macOS,2056.4,1.6,2057.9,2170.8
capture_2026-08-13_macos_poweron,macOS,1046.1,1.5,1047.7,1153.9
capture_2026-08-13_macos_poweron_noapp,macOS,1044.9,0.8,1045.7,1152.1
capture_2026-08-13_macos_poweron_noapp,macOS,1042.5,1.3,1043.8,1148.5
capture_2026-08-13_macos_poweron_noapp,macOS,2043.2,0.7,2043.9,2148.7
capture_2026-08-13_macos_poweron_noapp,macOS,2041.3,1.4,2042.7,2148.2
capture_2026-08-13_macos_poweron_noapp,macOS,2046.1,1.4,2047.5,2154.4
capture_2026-08-13_macos_poweron_noapp,macOS,2047.5,1.4,2048.9,2158.6
capture_2026-08-13_macos_usb_disconnect_96k,macOS,2043.9,1.6,2045.5,2148.9
capture_2026-08-13_macos_usb_disconnect_96k,macOS,2046.2,0.9,2047.1,2152.5
capture_2026-08-13_macos_usb_disconnect_96k,macOS,2051.1,0.7,2051.9,2156.1
capture_2026-08-13_macos_usb_disconnect_96k,macOS,2319.7,1.6,2321.3,2422.7
capture_2026-08-13_macos_usb_disconnect_96k,macOS,3567.7,1.4,3569.1,3675.0
capture_macos_44k_poweron,macOS,1045.8,1.3,1047.1,1154.4
capture_win_power-on_samplerate,Windows,296.9,-1.7,295.2,374.3
capture_win_power_on_off_cycle,Windows,298.5,-2.0,296.5,371.7
capture_win_power_on_off_cycle,Windows,307.7,-1.8,305.8,381.7
capture_win_power_on_off_cycle,Windows,304.3,-1.7,302.5,410.7
capture_win_power_on_off_cycle,Windows,302.8,-1.4,301.4,399.0
