# Control-plane events: capture_2026-08-13_linux_power-on2_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [init+rate]  at 5.348714 s, 36 transfers, span 281.273 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     73.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   117.351 |   117.278 |     22.0 |      0 | SET_ADDRESS wValue=0x0007
   133.333 |    15.960 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   133.497 |     0.092 |     51.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   133.636 |     0.088 |    206.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   134.018 |     0.176 |     50.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   134.153 |     0.085 |     74.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   134.333 |     0.106 |     52.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   134.477 |     0.092 |     76.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   163.967 |    29.414 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001
   207.866 |    43.875 |     49.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   208.309 |     0.394 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   209.465 |     1.132 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   209.798 |     0.309 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   210.112 |     0.290 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   210.562 |     0.426 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   210.983 |     0.397 |     49.0 |      0 | GET_STATUS len=1 -> 12
   211.068 |     0.036 |     49.0 |      0 | GET_STATUS len=1 -> 12
   211.126 |     0.009 |    204.0 |      0 | SET_STATUS wValue=0x0032
   211.339 |     0.009 |     48.0 |      0 | GET_STATUS len=1 -> 32
   211.396 |     0.009 |     49.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   211.743 |     0.298 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   212.992 |     1.225 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   213.338 |     0.322 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   213.787 |     0.425 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   214.176 |     0.366 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   214.525 |     0.325 |     49.0 |      0 | GET_STATUS len=1 -> 32
   214.634 |     0.060 |     99.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   229.200 |    14.467 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   229.396 |     0.139 |     49.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   229.564 |     0.119 |     69.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   229.687 |     0.054 |     48.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   229.778 |     0.043 |     69.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   229.860 |     0.013 |    150.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   281.087 |    51.077 |     52.0 |      0 | GET_STATUS len=1 -> 32
   281.210 |     0.071 |     63.0 |      0 | GET_STATUS len=1 -> 32

================================================================================================
EVENT 2  [init+rate]  at 25.059010 s, 36 transfers, span 236.877 ms
================================================================================================
