Timestamp    |     d(ms) | Direction  | Target   | Bytes | Payload Data
----------------------------------------------------------------------------------------------------
5.348714     |     0.000 | SETUP      | 0.0      | 8     | 80 06 00 01 00 00 40 00   <- GET_DESCRIPTOR wValue=0x0100 len=64
5.348780     |     0.066 | IN         | 0.0      | 18    | 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
5.348787     |     0.007 | OUT        | 0.0      | 0     | []
5.466065     |   117.278 | SETUP      | 0.0      | 8     | 00 05 07 00 00 00 00 00   <- SET_ADDRESS wValue=0x0007
5.466087     |     0.022 | IN         | 0.0      | 0     | []
5.482047     |    15.960 | SETUP      | 7.0      | 8     | 80 06 00 01 00 00 12 00   <- GET_DESCRIPTOR wValue=0x0100 len=18
5.482113     |     0.066 | IN         | 7.0      | 18    | 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
5.482119     |     0.006 | OUT        | 7.0      | 0     | []
5.482211     |     0.092 | SETUP      | 7.0      | 8     | 80 06 00 02 00 00 09 00   <- GET_DESCRIPTOR wValue=0x0200 len=9
5.482256     |     0.045 | IN         | 7.0      | 9     | 09 02 49 00 02 01 00 c0 00
5.482262     |     0.006 | OUT        | 7.0      | 0     | []
5.482350     |     0.088 | SETUP      | 7.0      | 8     | 80 06 00 02 00 00 49 00   <- GET_DESCRIPTOR wValue=0x0200 len=73
5.482525     |     0.175 | IN         | 7.0      | 64    | 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 ... [16 bytes] ... 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
5.482549     |     0.024 | IN         | 7.0      | 9     | 00 00 07 05 86 02 00 02 01
5.482556     |     0.007 | OUT        | 7.0      | 0     | []
5.482732     |     0.176 | SETUP      | 7.0      | 8     | 80 06 00 03 00 00 ff 00   <- GET_DESCRIPTOR wValue=0x0300 len=255
5.482776     |     0.044 | IN         | 7.0      | 4     | 04 03 09 04
5.482782     |     0.006 | OUT        | 7.0      | 0     | []
