# Control-plane events: capture_2026-08-13_linux_power-on_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [init+rate]  at 6.544833 s, 36 transfers, span 249.817 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |     62.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   117.289 |   117.227 |     22.0 |      0 | SET_ADDRESS wValue=0x000c
   133.447 |    16.136 |     71.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   133.625 |     0.107 |     63.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=9 -> 09 02 49 00 02 01 00 c0 00
   133.786 |     0.098 |    205.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   134.163 |     0.172 |     54.0 |      0 | GET_DESCRIPTOR wValue=0x0300 len=255 -> 04 03 09 04
   134.301 |     0.084 |    102.0 |      0 | GET_DESCRIPTOR wValue=0x0302 wIndex=0x0409 len=255 -> 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
   134.488 |     0.085 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0301 wIndex=0x0409 len=255 -> 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
   134.623 |     0.063 |     94.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   164.161 |    29.444 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001
   164.411 |     0.226 |     29.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   170.541 |     6.101 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   171.628 |     1.063 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   172.018 |     0.367 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   172.383 |     0.342 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   172.840 |     0.434 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   173.293 |     0.429 |     36.0 |      0 | GET_STATUS len=1 -> 12
   173.413 |     0.084 |     29.0 |      0 | GET_STATUS len=1 -> 12
   173.462 |     0.020 |    209.0 |      0 | SET_STATUS wValue=0x0032
   173.686 |     0.015 |     33.0 |      0 | GET_STATUS len=1 -> 32
   173.808 |     0.089 |     35.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   179.979 |     6.136 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   181.295 |     1.292 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   181.721 |     0.402 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   182.234 |     0.489 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   182.642 |     0.384 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   183.071 |     0.406 |     29.0 |      0 | GET_STATUS len=1 -> 32
   183.111 |     0.011 |    134.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   197.406 |    14.161 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   197.557 |     0.099 |     69.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   197.743 |     0.117 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   197.888 |     0.093 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   198.038 |     0.098 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   198.183 |     0.093 |    134.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   249.669 |    51.352 |     30.0 |      0 | GET_STATUS len=1 -> 32
   249.787 |     0.088 |     30.0 |      0 | GET_STATUS len=1 -> 32

