# Control-plane events: capture_2026-08-17_linux_ratechange_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 3.364526 s, 2 transfers, span 1000.830 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           | 1000717.0 |  33401 | GET_DESCRIPTOR wValue=0x0300 len=4
  1000.830 |     0.113 |      0.0 |   9935 | GET_DESCRIPTOR wValue=0x0300 len=4

================================================================================================
EVENT 2  [init+rate]  at 5.845873 s, 125 transfers, span 7380.304 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           | 117473.0 |  14634 | GET_FIRMWARE len=3 -> 31 01 06
   123.720 |     6.247 |     23.0 |      0 | SET_INTERFACE intf=1 alt=0
   124.090 |     0.347 |     23.0 |      0 | SET_INTERFACE intf=0 alt=0
   128.497 |     4.384 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   129.542 |     1.021 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   129.992 |     0.426 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   130.476 |     0.460 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   130.793 |     0.293 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   131.060 |     0.243 |     53.0 |      0 | GET_STATUS len=1 -> 32
   131.139 |     0.026 |    154.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   182.361 |    51.068 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
   193.571 |    11.155 |     48.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
   193.730 |     0.111 |     47.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 96000 Hz
   193.895 |     0.118 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
   194.064 |     0.118 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 96000 Hz
   194.231 |     0.115 |     48.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
   194.373 |     0.094 |    133.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
   245.622 |    51.116 |     49.0 |      0 | GET_STATUS len=1 -> 32
   245.783 |     0.112 | 1535881.0 |      0 | GET_STATUS len=1 -> 32
  1788.003 |     6.339 |     24.0 |  30457 | SET_INTERFACE intf=1 alt=0
  1788.422 |     0.395 |     28.0 |      0 | SET_INTERFACE intf=0 alt=0
  1793.926 |     5.476 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  1795.052 |     1.102 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
  1795.594 |     0.518 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  1795.999 |     0.382 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  1796.320 |     0.298 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  1796.609 |     0.265 |     36.0 |      0 | GET_STATUS len=1 -> 32
  1796.733 |     0.088 |     99.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 96000 Hz
  1847.953 |    51.121 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  1859.112 |    11.108 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  1859.250 |     0.087 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
  1859.429 |     0.127 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  1859.598 |     0.117 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
  1859.751 |     0.102 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  1859.919 |     0.113 |    140.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  1910.281 |    50.222 |     38.0 |      0 | GET_STATUS len=1 -> 32
  1910.379 |     0.060 |  88382.0 |      0 | GET_STATUS len=1 -> 32
  2061.626 |    62.865 |  53133.0 |    290 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
  2170.399 |    55.640 |     22.0 |      0 | SET_ADDRESS wValue=0x0022
  2186.312 |    15.891 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
  2186.471 |     0.087 |    201.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
  2186.778 |     0.106 |     75.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
  2186.935 |     0.082 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001
  2187.327 |     0.368 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  2188.413 |     1.062 |     32.0 |      0 | SET_INTERFACE intf=1 alt=1
  2188.855 |     0.410 |     37.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
  2195.223 |     6.331 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  2196.202 |     0.955 |     28.0 |      0 | SET_INTERFACE intf=1 alt=1
  2196.570 |     0.340 |     32.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  2196.998 |     0.396 |     32.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  2197.311 |     0.281 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  2197.675 |     0.340 |     53.0 |      0 | GET_STATUS len=1 -> 32
  2197.756 |     0.028 |     29.0 |      0 | GET_STATUS len=1 -> 32
  2197.853 |     0.068 |     29.0 |      0 | GET_STATUS len=1 -> 32
  2197.891 |     0.009 |    134.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
  2198.034 |     0.009 |     29.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
  2204.283 |     6.220 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  2205.223 |     0.916 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
  2205.587 |     0.341 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  2205.982 |     0.371 |     33.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  2206.230 |     0.215 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  2206.715 |     0.462 |     30.0 |      0 | GET_STATUS len=1 -> 32
  2206.813 |     0.068 |    126.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
  2222.036 |    15.097 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  2222.133 |     0.046 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
  2222.193 |     0.009 |     94.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  2222.387 |     0.100 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
  2222.522 |     0.084 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  2222.669 |     0.090 |    134.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
  2273.879 |    51.076 |     29.0 |      0 | GET_STATUS len=1 -> 32
  2273.982 |     0.074 | 1746438.0 |      0 | GET_STATUS len=1 -> 32
  4026.720 |     6.300 |     24.0 |  16182 | SET_INTERFACE intf=1 alt=0
  4027.179 |     0.435 |     24.0 |      0 | SET_INTERFACE intf=0 alt=0
  4032.707 |     5.504 |     32.0 |      0 | SET_INTERFACE intf=0 alt=1
  4033.853 |     1.114 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
  4034.285 |     0.409 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  4034.781 |     0.473 |     34.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  4035.157 |     0.342 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  4035.526 |     0.345 |     43.0 |      0 | GET_STATUS len=1 -> 32
  4035.603 |     0.034 |    114.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
  4086.768 |    51.051 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4097.960 |    11.140 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.112 |     0.101 |     53.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
  4098.268 |     0.103 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.412 |     0.087 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
  4098.589 |     0.126 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.758 |     0.118 |    118.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4149.947 |    51.071 |     30.0 |      0 | GET_STATUS len=1 -> 32
  4150.099 |     0.122 | 1149924.0 |      0 | GET_STATUS len=1 -> 32
  5306.372 |     6.349 |     24.0 |  20264 | SET_INTERFACE intf=1 alt=0
  5306.806 |     0.410 |     24.0 |      0 | SET_INTERFACE intf=0 alt=0
  5311.763 |     4.933 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  5312.886 |     1.099 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
  5313.357 |     0.448 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  5313.830 |     0.449 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  5314.177 |     0.324 |     26.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  5314.454 |     0.251 |     34.0 |      0 | GET_STATUS len=1 -> 32
  5314.567 |     0.079 |    113.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 88200 Hz
  5365.762 |    51.082 |     60.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5376.943 |    11.121 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.077 |     0.082 |     38.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
  5377.213 |     0.098 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.370 |     0.106 |     58.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
  5377.514 |     0.086 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.671 |     0.102 |    135.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5428.883 |    51.077 |     30.0 |      0 | GET_STATUS len=1 -> 32
  5429.002 |     0.089 | 1824461.0 |      0 | GET_STATUS len=1 -> 32
  7259.722 |     6.259 |     24.0 |  18755 | SET_INTERFACE intf=1 alt=0
  7260.060 |     0.314 |     23.0 |      0 | SET_INTERFACE intf=0 alt=0
  7264.707 |     4.624 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
  7265.657 |     0.927 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
  7266.003 |     0.322 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  7266.335 |     0.308 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  7266.691 |     0.333 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  7266.997 |     0.283 |     29.0 |      0 | GET_STATUS len=1 -> 32
  7267.037 |     0.011 |    135.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 48000 Hz
  7318.235 |    51.063 |     59.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7328.460 |    10.166 |     59.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7328.575 |     0.056 |     56.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 96000 Hz
  7328.684 |     0.053 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
