Timestamp    | Direction  | Target   | Bytes | Payload Data
----------------------------------------------------------------------------------------------------
3.041335     | SETUP      | 0.0      | 8     | 00 05 08 00 00 00 00 00
3.041358     | IN         | 0.0      | 0     | []
3.043933     | SETUP      | 8.0      | 8     | 80 06 00 01 00 00 12 00
3.044002     | IN         | 8.0      | 18    | 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
3.044008     | OUT        | 8.0      | 0     | []
3.044246     | SETUP      | 8.0      | 8     | 80 06 02 03 09 04 02 00
3.044271     | IN         | 8.0      | 2     | 1e 03
3.044277     | OUT        | 8.0      | 0     | []
3.044445     | SETUP      | 8.0      | 8     | 80 06 02 03 09 04 1e 00
3.044511     | IN         | 8.0      | 30    | 1e 03 4a 00 6f 00 63 00 6b 00 65 00 79 00 20 00 33 00 20 00 52 00 65 00 6d 00 69 00 78 00
3.044517     | OUT        | 8.0      | 0     | []
3.044667     | SETUP      | 8.0      | 8     | 80 06 01 03 09 04 02 00
3.044691     | IN         | 8.0      | 2     | 0e 03
3.044697     | OUT        | 8.0      | 0     | []
3.044819     | SETUP      | 8.0      | 8     | 80 06 01 03 09 04 0e 00
3.044865     | IN         | 8.0      | 14    | 0e 03 72 00 65 00 6c 00 6f 00 6f 00 70 00
3.044893     | OUT        | 8.0      | 0     | []
3.045045     | SETUP      | 8.0      | 8     | 80 06 03 03 09 04 02 00
3.045069     | IN         | 8.0      | 2     | 22 03
3.045096     | OUT        | 8.0      | 0     | []
3.045218     | SETUP      | 8.0      | 8     | 80 06 03 03 09 04 22 00
3.045305     | IN         | 8.0      | 34    | 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
3.045311     | OUT        | 8.0      | 0     | []
3.049396     | SETUP      | 8.0      | 8     | 80 06 00 02 00 00 09 00
3.049443     | IN         | 8.0      | 9     | 09 02 49 00 02 01 00 c0 00
3.049468     | OUT        | 8.0      | 0     | []
3.049670     | SETUP      | 8.0      | 8     | 80 06 00 02 00 00 49 00
3.049842     | IN         | 8.0      | 64    | 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
3.049866     | IN         | 8.0      | 9     | 00 00 07 05 86 02 00 02 01
3.049871     | OUT        | 8.0      | 0     | []
3.057355     | SETUP      | 8.0      | 8     | c0 56 00 00 00 00 08 00
3.057380     | IN         | 8.0      | 3     | 31 01 03
