Timestamp    | Direction  | Target   | Bytes | Payload Data
----------------------------------------------------------------------------------------------------
0.678416     | IN         | 7.3      | 1     | 90
0.678932     | IN         | 7.3      | 1     | 0c
0.679348     | IN         | 7.3      | 1     | 7f
0.737480     | IN         | 7.3      | 1     | 90
0.738005     | IN         | 7.3      | 1     | 0c
0.738415     | IN         | 7.3      | 1     | 00
0.962673     | IN         | 7.3      | 1     | 90
0.963196     | IN         | 7.3      | 1     | 0c
0.963611     | IN         | 7.3      | 1     | 7f
1.031527     | IN         | 7.3      | 1     | 90
1.032052     | IN         | 7.3      | 1     | 0c
1.032473     | IN         | 7.3      | 1     | 00
2.096503     | IN         | 7.3      | 1     | b0
2.096970     | IN         | 7.3      | 1     | 22
2.097329     | IN         | 7.3      | 1     | 3f
2.104949     | IN         | 7.3      | 1     | b0
2.105367     | IN         | 7.3      | 1     | 22
2.105786     | IN         | 7.3      | 1     | 3e
2.113894     | IN         | 7.3      | 1     | b0
2.114742     | IN         | 7.3      | 1     | 22
2.115161     | IN         | 7.3      | 1     | 39
2.122757     | IN         | 7.3      | 1     | b0
2.123169     | IN         | 7.3      | 1     | 22
2.123588     | IN         | 7.3      | 1     | 34
2.131710     | IN         | 7.3      | 1     | b0
2.132125     | IN         | 7.3      | 1     | 22
2.132543     | IN         | 7.3      | 1     | 2d
2.134787     | IN         | 7.3      | 1     | 90
2.135162     | IN         | 7.3      | 1     | 22
2.135668     | IN         | 7.3      | 1     | 7f
2.141090     | IN         | 7.3      | 1     | b0
2.141509     | IN         | 7.3      | 1     | 22
2.141919     | IN         | 7.3      | 1     | 23
2.149953     | IN         | 7.3      | 1     | b0
2.150371     | IN         | 7.3      | 1     | 22
2.150788     | IN         | 7.3      | 1     | 1d
2.158792     | IN         | 7.3      | 1     | b0
2.159248     | IN         | 7.3      | 1     | 22
2.159624     | IN         | 7.3      | 1     | 17
2.168168     | IN         | 7.3      | 1     | b0
2.168590     | IN         | 7.3      | 1     | 22
2.169009     | IN         | 7.3      | 1     | 0f
2.176917     | IN         | 7.3      | 1     | b0
2.177340     | IN         | 7.3      | 1     | 22
2.177759     | IN         | 7.3      | 1     | 11
2.185894     | IN         | 7.3      | 1     | b0
2.186295     | IN         | 7.3      | 1     | 22
2.186712     | IN         | 7.3      | 1     | 11
2.188068     | IN         | 7.3      | 1     | 90
2.188476     | IN         | 7.3      | 1     | 22
2.188914     | IN         | 7.3      | 1     | 00
2.194830     | IN         | 7.3      | 1     | b0
2.195250     | IN         | 7.3      | 1     | 22
2.195665     | IN         | 7.3      | 1     | 10
2.204126     | IN         | 7.3      | 1     | b0
2.204953     | IN         | 7.3      | 1     | 22
2.205465     | IN         | 7.3      | 1     | 0e
2.212955     | IN         | 7.3      | 1     | b0
2.213388     | IN         | 7.3      | 1     | 22
2.213916     | IN         | 7.3      | 1     | 12
2.221916     | IN         | 7.3      | 1     | b0
2.222329     | IN         | 7.3      | 1     | 22
2.222747     | IN         | 7.3      | 1     | 11
2.230818     | IN         | 7.3      | 1     | b0
2.231206     | IN         | 7.3      | 1     | 22
2.231627     | IN         | 7.3      | 1     | 11
2.240151     | IN         | 7.3      | 1     | b0
2.240569     | IN         | 7.3      | 1     | 22
2.241082     | IN         | 7.3      | 1     | 10
2.249150     | IN         | 7.3      | 1     | b0
2.249524     | IN         | 7.3      | 1     | 22
2.249955     | IN         | 7.3      | 1     | 11
2.258380     | IN         | 7.3      | 1     | b0
2.258799     | IN         | 7.3      | 1     | 22
2.259208     | IN         | 7.3      | 1     | 0f
2.266720     | IN         | 7.3      | 1     | b0
2.267233     | IN         | 7.3      | 1     | 22
2.267749     | IN         | 7.3      | 1     | 15
2.275981     | IN         | 7.3      | 1     | b0
2.276510     | IN         | 7.3      | 1     | 22
2.277027     | IN         | 7.3      | 1     | 0f
2.284839     | IN         | 7.3      | 1     | b0
2.285357     | IN         | 7.3      | 1     | 22
2.285821     | IN         | 7.3      | 1     | 13
2.294321     | IN         | 7.3      | 1     | b0
2.295142     | IN         | 7.3      | 1     | 22
2.295675     | IN         | 7.3      | 1     | 0f
2.303073     | IN         | 7.3      | 1     | b0
2.303628     | IN         | 7.3      | 1     | 22
2.304024     | IN         | 7.3      | 1     | 13
2.312131     | IN         | 7.3      | 1     | b0
2.312545     | IN         | 7.3      | 1     | 22
2.313276     | IN         | 7.3      | 1     | 12
2.320670     | IN         | 7.3      | 1     | b0
2.321295     | IN         | 7.3      | 1     | 22
2.321706     | IN         | 7.3      | 1     | 14
2.329731     | IN         | 7.3      | 1     | b0
2.330246     | IN         | 7.3      | 1     | 22
2.330872     | IN         | 7.3      | 1     | 12
2.338734     | IN         | 7.3      | 1     | b0
2.339205     | IN         | 7.3      | 1     | 22
2.339625     | IN         | 7.3      | 1     | 12
2.347644     | IN         | 7.3      | 1     | b0
2.348296     | IN         | 7.3      | 1     | 22
2.348896     | IN         | 7.3      | 1     | 13
2.356707     | IN         | 7.3      | 1     | b0
2.357233     | IN         | 7.3      | 1     | 22
2.357641     | IN         | 7.3      | 1     | 12
2.365672     | IN         | 7.3      | 1     | b0
2.366184     | IN         | 7.3      | 1     | 22
2.366712     | IN         | 7.3      | 1     | 13
2.374733     | IN         | 7.3      | 1     | b0
2.375304     | IN         | 7.3      | 1     | 22
2.375803     | IN         | 7.3      | 1     | 13
2.383803     | IN         | 7.3      | 1     | b0
2.384304     | IN         | 7.3      | 1     | 22
2.385147     | IN         | 7.3      | 1     | 13
2.393179     | IN         | 7.3      | 1     | b0
2.393577     | IN         | 7.3      | 1     | 22
2.394106     | IN         | 7.3      | 1     | 11
2.402236     | IN         | 7.3      | 1     | b0
2.402649     | IN         | 7.3      | 1     | 22
2.403070     | IN         | 7.3      | 1     | 13
2.410878     | IN         | 7.3      | 1     | b0
2.411303     | IN         | 7.3      | 1     | 22
2.411712     | IN         | 7.3      | 1     | 16
2.420239     | IN         | 7.3      | 1     | b0
2.420675     | IN         | 7.3      | 1     | 22
2.421186     | IN         | 7.3      | 1     | 11
2.428892     | IN         | 7.3      | 1     | b0
2.429306     | IN         | 7.3      | 1     | 22
2.429735     | IN         | 7.3      | 1     | 16
2.438056     | IN         | 7.3      | 1     | b0
2.438800     | IN         | 7.3      | 1     | 22
2.439204     | IN         | 7.3      | 1     | 12
2.447118     | IN         | 7.3      | 1     | b0
2.447551     | IN         | 7.3      | 1     | 22
2.447964     | IN         | 7.3      | 1     | 15
2.455987     | IN         | 7.3      | 1     | b0
2.456395     | IN         | 7.3      | 1     | 22
2.457023     | IN         | 7.3      | 1     | 15
2.464763     | IN         | 7.3      | 1     | b0
2.465268     | IN         | 7.3      | 1     | 22
2.465677     | IN         | 7.3      | 1     | 14
2.474115     | IN         | 7.3      | 1     | b0
2.475238     | IN         | 7.3      | 1     | 22
2.475677     | IN         | 7.3      | 1     | 12
2.483052     | IN         | 7.3      | 1     | b0
2.483467     | IN         | 7.3      | 1     | 22
2.483927     | IN         | 7.3      | 1     | 18
2.491803     | IN         | 7.3      | 1     | b0
2.492330     | IN         | 7.3      | 1     | 22
2.492866     | IN         | 7.3      | 1     | 21
2.500678     | IN         | 7.3      | 1     | b0
2.501327     | IN         | 7.3      | 1     | 22
2.501716     | IN         | 7.3      | 1     | 2b
2.510053     | IN         | 7.3      | 1     | b0
2.510554     | IN         | 7.3      | 1     | 22
2.510970     | IN         | 7.3      | 1     | 35
2.518900     | IN         | 7.3      | 1     | b0
2.519403     | IN         | 7.3      | 1     | 22
2.519940     | IN         | 7.3      | 1     | 3e
2.526957     | IN         | 7.3      | 1     | 90
2.527435     | IN         | 7.3      | 1     | 22
2.527867     | IN         | 7.3      | 1     | 7f
2.533153     | IN         | 7.3      | 1     | b0
2.533930     | IN         | 7.3      | 1     | 22
2.534456     | IN         | 7.3      | 1     | 41
2.542070     | IN         | 7.3      | 1     | b0
2.542776     | IN         | 7.3      | 1     | 22
2.543210     | IN         | 7.3      | 1     | 43
2.551305     | IN         | 7.3      | 1     | b0
2.552034     | IN         | 7.3      | 1     | 22
2.552430     | IN         | 7.3      | 1     | 44
2.560132     | IN         | 7.3      | 1     | b0
2.560876     | IN         | 7.3      | 1     | 22
2.561329     | IN         | 7.3      | 1     | 43
2.568812     | IN         | 7.3      | 1     | b0
2.569306     | IN         | 7.3      | 1     | 22
2.570266     | IN         | 7.3      | 1     | 42
2.603058     | IN         | 7.3      | 1     | b0
2.603786     | IN         | 7.3      | 1     | 22
2.604212     | IN         | 7.3      | 1     | 3f
2.611808     | IN         | 7.3      | 1     | b0
2.612335     | IN         | 7.3      | 1     | 22
2.612746     | IN         | 7.3      | 1     | 3f
2.621079     | IN         | 7.3      | 1     | b0
2.621808     | IN         | 7.3      | 1     | 22
2.622221     | IN         | 7.3      | 1     | 3f
2.629836     | IN         | 7.3      | 1     | b0
2.630349     | IN         | 7.3      | 1     | 22
2.630872     | IN         | 7.3      | 1     | 3f
2.640874     | IN         | 7.3      | 1     | b0
2.641282     | IN         | 7.3      | 1     | 22
2.641738     | IN         | 7.3      | 1     | 3f
2.663998     | IN         | 7.3      | 1     | 90
2.664836     | IN         | 7.3      | 1     | 22
2.665350     | IN         | 7.3      | 1     | 00
3.308825     | OUT        | 7.5      | 0     | []
3.310671     | IN         | 7.6      | 0     | []
3.316569     | IN         | 7.6      | 0     | []
3.319273     | OUT        | 7.5      | 0     | []
3.331005     | IN         | 7.6      | 0     | []
3.339389     | IN         | 7.6      | 0     | []
3.357056     | IN         | 7.6      | 0     | []
3.358267     | IN         | 7.6      | 0     | []
3.371983     | IN         | 7.6      | 0     | []
3.376360     | OUT        | 7.5      | 0     | []
3.381340     | OUT        | 7.5      | 0     | []
3.382208     | IN         | 7.6      | 0     | []
3.391425     | OUT        | 7.2      | 1     | 00
3.393308     | OUT        | 7.5      | 0     | []
3.396983     | OUT        | 7.5      | 0     | []
3.421366     | OUT        | 7.5      | 0     | []
3.423457     | IN         | 7.6      | 0     | []
3.431059     | IN         | 7.6      | 0     | []
3.443384     | OUT        | 7.5      | 0     | []
3.462542     | IN         | 7.6      | 0     | []
3.473092     | IN         | 7.6      | 0     | []
3.478510     | OUT        | 7.5      | 0     | []
3.487690     | OUT        | 7.5      | 0     | []
3.515615     | OUT        | 7.5      | 0     | []
3.527506     | OUT        | 7.2      | 1     | 00
3.528478     | OUT        | 7.2      | 1     | 00
3.532974     | OUT        | 7.5      | 0     | []
3.540804     | IN         | 7.6      | 0     | []
3.597190     | IN         | 7.6      | 0     | []
3.614523     | IN         | 7.6      | 0     | []
3.623650     | IN         | 7.6      | 0     | []
3.633169     | IN         | 7.6      | 0     | []
3.643588     | IN         | 7.3      | 0     | []
3.645342     | OUT        | 7.5      | 0     | []
3.649497     | OUT        | 7.5      | 0     | []
3.649819     | IN         | 7.6      | 0     | []
3.657074     | OUT        | 7.2      | 0     | []
3.671064     | OUT        | 7.5      | 0     | []
3.673533     | IN         | 7.6      | 0     | []
3.676305     | OUT        | 7.5      | 0     | []
3.681896     | OUT        | 7.5      | 0     | []
3.691298     | OUT        | 7.2      | 1     | 00
3.692569     | IN         | 7.6      | 0     | []
3.715720     | OUT        | 7.5      | 0     | []
3.725795     | OUT        | 7.5      | 0     | []
3.728251     | OUT        | 7.5      | 0     | []
3.730955     | OUT        | 7.2      | 1     | 00
3.745099     | IN         | 7.6      | 0     | []
3.745108     | OUT        | 7.5      | 0     | []
3.749043     | OUT        | 7.5      | 0     | []
3.752659     | IN         | 7.6      | 0     | []
3.779495     | IN         | 7.3      | 0     | []
3.783080     | IN         | 7.6      | 0     | []
3.792288     | OUT        | 7.2      | 1     | 00
3.792947     | IN         | 7.6      | 0     | []
3.795970     | OUT        | 7.5      | 0     | []
3.802938     | IN         | 7.6      | 0     | []
3.816141     | IN         | 7.6      | 0     | []
3.819981     | OUT        | 7.5      | 0     | []
3.824933     | OUT        | 7.5      | 0     | []
3.831546     | IN         | 7.3      | 0     | []
3.837810     | OUT        | 7.2      | 1     | 00
3.843261     | OUT        | 7.5      | 0     | []
3.850161     | IN         | 7.6      | 0     | []
3.857816     | IN         | 7.6      | 0     | []
3.858120     | OUT        | 7.2      | 1     | 00
3.859394     | OUT        | 7.5      | 0     | []
3.871877     | IN         | 7.6      | 0     | []
3.882179     | OUT        | 7.5      | 0     | []
3.890117     | IN         | 7.6      | 0     | []
3.932206     | IN         | 7.6      | 0     | []
3.933689     | OUT        | 7.2      | 1     | 00
3.969977     | IN         | 7.6      | 0     | []
4.006259     | OUT        | 7.5      | 0     | []
4.017556     | IN         | 7.6      | 0     | []
4.026031     | OUT        | 7.5      | 0     | []
4.027214     | IN         | 7.6      | 0     | []
4.042179     | IN         | 7.6      | 0     | []
4.054752     | IN         | 7.6      | 0     | []
4.061219     | IN         | 7.6      | 0     | []
4.072917     | OUT        | 7.5      | 0     | []
4.074326     | IN         | 7.6      | 0     | []
4.074669     | OUT        | 7.5      | 0     | []
4.083301     | OUT        | 7.2      | 1     | 00
4.102849     | OUT        | 7.5      | 0     | []
4.106476     | OUT        | 7.5      | 0     | []
4.116868     | IN         | 7.6      | 0     | []
4.131195     | OUT        | 7.2      | 1     | 00
4.135804     | OUT        | 7.2      | 1     | 00
4.137936     | IN         | 7.6      | 0     | []
4.144024     | OUT        | 7.2      | 1     | 00
4.157834     | IN         | 7.6      | 0     | []
4.164275     | IN         | 7.6      | 0     | []
4.175268     | IN         | 7.6      | 0     | []
4.175561     | IN         | 7.6      | 0     | []
4.180684     | IN         | 7.6      | 0     | []
4.182175     | OUT        | 7.5      | 0     | []
4.207290     | IN         | 7.6      | 0     | []
4.214905     | OUT        | 7.5      | 0     | []
4.215807     | IN         | 7.6      | 0     | []
