Timestamp    | Direction  | Target   | Bytes | Payload Data
----------------------------------------------------------------------------------------------------
0.302120     | IN         | 8.3      | 5     | fd fd fd 90 fd
0.303016     | IN         | 8.3      | 5     | fd fd 0c 7f fd
0.400918     | IN         | 8.3      | 5     | fd fd fd 90 fd
0.402067     | IN         | 8.3      | 5     | fd fd 0c 00 fd
1.628623     | IN         | 8.3      | 5     | fd fd fd 90 fd
1.629042     | IN         | 8.3      | 5     | fd fd fd 0c fd
1.630180     | IN         | 8.3      | 5     | fd fd fd 7f fd
1.687513     | IN         | 8.3      | 5     | fd fd fd 90 fd
1.688233     | IN         | 8.3      | 5     | fd fd fd 0c fd
1.689115     | IN         | 8.3      | 5     | fd fd fd 00 fd
1.756641     | IN         | 8.3      | 5     | fd fd fd 90 fd
1.757545     | IN         | 8.3      | 5     | fd fd fd 0c fd
1.758001     | IN         | 8.3      | 5     | fd fd fd 7f fd
1.815778     | IN         | 8.3      | 5     | fd fd fd 90 fd
1.816246     | IN         | 8.3      | 5     | fd fd fd 0c fd
1.817144     | IN         | 8.3      | 5     | fd fd fd 00 fd
2.013183     | IN         | 8.3      | 5     | fd fd fd 90 fd
2.014081     | IN         | 8.3      | 5     | fd fd 0c 7f fd
2.062361     | IN         | 8.3      | 5     | fd fd fd 90 fd
2.063078     | IN         | 8.3      | 5     | fd fd fd 0c fd
2.064205     | IN         | 8.3      | 5     | fd fd fd 00 fd
2.752691     | IN         | 8.3      | 5     | fd fd fd 90 fd
2.753141     | IN         | 8.3      | 5     | fd fd fd 0d fd
2.754045     | IN         | 8.3      | 5     | fd fd fd 7f fd
2.811870     | IN         | 8.3      | 5     | fd fd fd 90 fd
2.812322     | IN         | 8.3      | 5     | fd fd fd 0d fd
2.813227     | IN         | 8.3      | 5     | fd fd fd 00 fd
3.323342     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.324240     | IN         | 8.3      | 5     | fd fd 0c 7f fd
3.372752     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.373192     | IN         | 8.3      | 5     | fd fd fd 0c fd
3.374139     | IN         | 8.3      | 5     | fd fd fd 00 fd
3.441863     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.442334     | IN         | 8.3      | 5     | fd fd fd 0c fd
3.443232     | IN         | 8.3      | 5     | fd fd fd 7f fd
3.490592     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.491279     | IN         | 8.3      | 5     | fd fd fd 0c fd
3.492194     | IN         | 8.3      | 5     | fd fd fd 00 fd
3.745780     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.746236     | IN         | 8.3      | 5     | fd fd fd 0c fd
3.747145     | IN         | 8.3      | 5     | fd fd fd 7f fd
3.804979     | IN         | 8.3      | 5     | fd fd fd 90 fd
3.805378     | IN         | 8.3      | 5     | fd fd fd 0c fd
3.806335     | IN         | 8.3      | 5     | fd fd fd 00 fd
4.021827     | IN         | 8.3      | 5     | fd fd fd 90 fd
4.022271     | IN         | 8.3      | 5     | fd fd fd 0d fd
4.023217     | IN         | 8.3      | 5     | fd fd fd 7f fd
4.081430     | IN         | 8.3      | 5     | fd fd fd 90 fd
4.082102     | IN         | 8.3      | 5     | fd fd fd 0d fd
4.083236     | IN         | 8.3      | 5     | fd fd fd 00 fd
4.299892     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.300354     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.301252     | IN         | 8.3      | 5     | fd fd fd 3f fd
4.308271     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.309191     | IN         | 8.3      | 5     | fd fd 28 3e fd
4.317371     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.318261     | IN         | 8.3      | 5     | fd fd 28 3b fd
4.325959     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.326417     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.327315     | IN         | 8.3      | 5     | fd fd fd 36 fd
4.335249     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.336147     | IN         | 8.3      | 5     | fd fd 28 30 fd
4.341817     | IN         | 8.3      | 5     | fd fd fd 90 fd
4.342277     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.343179     | IN         | 8.3      | 5     | fd fd fd 7f fd
4.344317     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.345216     | IN         | 8.3      | 5     | fd fd 28 2a fd
4.353373     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.354296     | IN         | 8.3      | 5     | fd fd 28 23 fd
4.362211     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.363155     | IN         | 8.3      | 5     | fd fd 28 1d fd
4.371545     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.372182     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.373115     | IN         | 8.3      | 5     | fd fd fd 16 fd
4.380364     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.381255     | IN         | 8.3      | 5     | fd fd 28 14 fd
4.389183     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.390349     | IN         | 8.3      | 5     | fd fd 28 12 fd
4.398501     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.399162     | IN         | 8.3      | 5     | fd fd 28 0f fd
4.407108     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.407593     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.408463     | IN         | 8.3      | 5     | fd fd fd 12 fd
4.409139     | IN         | 8.3      | 5     | fd fd 90 28 fd
4.410265     | IN         | 8.3      | 5     | fd fd fd 00 fd
4.416155     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.417287     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.418237     | IN         | 8.3      | 5     | fd fd fd 11 fd
4.425001     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.425463     | IN         | 8.3      | 5     | fd fd fd 28 fd
4.426138     | IN         | 8.3      | 5     | fd fd fd 12 fd
4.434281     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.435198     | IN         | 8.3      | 5     | fd fd 28 10 fd
4.443366     | IN         | 8.3      | 5     | fd fd fd b0 fd
4.444266     | IN         | 8.3      | 5     | fd fd 28 12 fd
4.452640     | IN         | 8.3      | 5     | fd fd fd b0 fd
