capture,kind,sequence_ms,stop_before_ms,resume_out_ms,resume_in_ms
capture_2026-08-13_linux_power-on2,init+rate,211.1,,70.2,70.5
capture_2026-08-13_linux_power-on2,init+rate,166.7,5976.4,70.2,81.6
capture_2026-08-13_linux_power-on2,init+rate,166.5,4561.5,70.6,85.2
capture_2026-08-13_linux_power-on,init+rate,173.5,,76.4,82.6
capture_2026-08-13_macos_poweron_96k,init+rate,108.5,,0.4,2.9
capture_2026-08-13_macos_poweron_96k,init+rate,124.8,151.5,0.5,6.5
capture_2026-08-13_macos_poweron_96k,init+rate,109.1,5979.5,0.6,1.1
capture_2026-08-13_macos_poweron_96k,init+rate,125.2,151.9,0.5,6.6
capture_2026-08-13_macos_poweron_96k,init+rate,107.1,4748.2,1.0,11.3
capture_2026-08-13_macos_poweron_96k,init+rate,123.7,151.4,0.5,2.5
capture_2026-08-13_macos_poweron_96k,init+rate,109.3,13264.4,0.6,20.7
capture_2026-08-13_macos_poweron_96k,init+rate,125.0,151.1,0.5,3.6
capture_2026-08-13_macos_poweron_96k,init+rate,106.1,5517.6,0.4,10.0
capture_2026-08-13_macos_poweron_96k,init+rate,124.8,151.3,0.5,15.3
capture_2026-08-13_macos_poweron_96k,init+rate,107.6,5514.7,0.5,18.8
capture_2026-08-13_macos_poweron_96k,init+rate,141.6,101.1,0.4,16.2
capture_2026-08-13_macos_poweron,init+rate,111.6,,0.5,20.9
capture_2026-08-13_macos_poweron,init+rate,106.3,6720.8,0.4,2.1
capture_2026-08-13_macos_poweron,init+rate,104.9,4427.0,0.5,7.8
capture_2026-08-13_macos_poweron,init+rate,106.4,6508.8,0.5,13.8
capture_2026-08-13_macos_poweron,init+rate,114.4,6481.4,0.5,9.7
capture_2026-08-13_macos_poweron,init+rate,107.7,5664.0,0.5,3.2
capture_2026-08-13_macos_poweron_noapp,init+rate,107.1,,0.5,7.4
capture_2026-08-13_macos_poweron_noapp,init+rate,140.2,100.9,0.5,8.7
capture_2026-08-13_macos_poweron_noapp,init+rate,105.9,5800.2,0.5,17.4
capture_2026-08-13_macos_poweron_noapp,init+rate,140.7,101.7,0.5,16.8
capture_2026-08-13_macos_poweron_noapp,init+rate,105.5,3872.4,0.5,20.4
capture_2026-08-13_macos_poweron_noapp,init+rate,124.6,152.4,0.4,5.3
capture_2026-08-13_macos_poweron_noapp,init+rate,106.9,3622.0,0.5,3.3
capture_2026-08-13_macos_poweron_noapp,init+rate,123.5,151.4,0.4,10.7
capture_2026-08-13_macos_poweron_noapp,init+rate,108.3,3453.6,0.4,9.5
capture_2026-08-13_macos_poweron_noapp,init+rate,141.9,101.4,0.4,2.5
capture_2026-08-13_macos_poweron_noapp,init+rate,111.1,3841.7,0.5,7.8
capture_2026-08-13_macos_poweron_noapp,init+rate,140.4,100.8,0.4,3.0
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,105.0,5106.5,0.5,7.3
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,124.1,152.7,0.5,5.4
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,106.3,5385.9,0.5,5.1
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,142.1,101.6,0.4,17.3
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,105.0,4207.4,0.5,21.3
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,123.3,150.9,0.4,6.9
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,103.0,4724.4,0.5,7.4
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,140.9,100.9,0.4,19.2
capture_2026-08-13_macos_usb_disconnect_96k,init+rate,107.2,5827.9,0.5,3.1
capture_macos_44k_poweron,init+rate,108.6,,0.4,15.0
capture_macos_rate_change,init+rate,123.7,150.5,0.5,2.5
capture_macos_rate_change,init+rate,123.9,150.8,0.4,20.1
capture_macos_rate_change,init+rate,122.9,151.4,0.5,5.1
capture_macos_rate_change,init+rate,124.1,150.9,0.4,9.0
capture_macos_rate_change,init+rate,123.0,151.0,0.4,1.9
capture_macos_rate_change,init+rate,123.8,150.9,0.5,1.3
capture_macos_rate_change,init+rate,124.3,151.0,0.4,4.4
