run_id,started,build_id,delay_ms,kernel,machine,driver_dirty,cycle,silent,power_on_to_enumerate_ms,enumerate_to_first_ep0_ms,power_on_to_first_ep0_ms,pcm_settle_ms,nonzero_fraction
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,1,True,,,,0.4,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,2,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,3,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,4,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,5,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,6,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,7,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,8,True,,,,0.1,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,7.2.0-rc5-alsa-prod+,alsa-test,False,9,True,,,,0.1,
x86_64-prod-20260814T164654Z-smoke,2026-08-14T16:46:54Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,1,False,,,,0.3,
x86_64-prod-20260814T164752Z-smoke,2026-08-14T16:47:52Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,1,False,,,,0.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,1,False,,,,0.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,2,False,,,,0.1,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,3,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,4,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,5,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,6,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,7,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,8,False,,,,0.1,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,9,False,,,,20.4,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,10,False,,,,22.5,
x86_64-prod-20260814T171540Z-smoke,2026-08-14T17:15:40Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,1,False,1404.6,2132.1,3536.7,0.4,
x86_64-prod-20260814T171540Z-smoke,2026-08-14T17:15:40Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,2,False,6202.2,2128.1,8330.2,20.4,
x86_64-prod-20260814T171540Z-smoke,2026-08-14T17:15:40Z,25355bfe,2000,7.2.0-rc5-alsa-prod+,alsa-test,False,3,False,1369.2,2136.2,3505.3,0.1,
