run_id,started,build_id,delay_ms,status,cycles,silent_cycles,nonzero_fraction_min,nonzero_fraction_max
x86_64-prod-20260814T004955Z-smoke,2026-08-14T00:49:55Z,f6a71204,0,pending,,,,
x86_64-prod-20260814T005055Z-smoke,2026-08-14T00:50:55Z,f6a71204,0,fail,,,,
x86_64-prod-20260814T005955Z-smoke,2026-08-14T00:59:55Z,f6a71204,0,fail,,,,
x86_64-prod-20260814T010008Z-smoke,2026-08-14T01:00:08Z,f6a71204,0,fail,,,,
x86_64-prod-20260814T010356Z-smoke,2026-08-14T01:03:56Z,f6a71204,0,fail,9,9,0.0,0.0
x86_64-prod-20260814T164654Z-smoke,2026-08-14T16:46:54Z,25355bfe,2000,fail,1,0,1.0,1.0
x86_64-prod-20260814T164752Z-smoke,2026-08-14T16:47:52Z,25355bfe,2000,fail,1,0,1.0,1.0
x86_64-prod-20260814T165314Z-smoke,2026-08-14T16:53:14Z,25355bfe,2000,fail,0,0,,
x86_64-prod-20260814T170342Z-smoke,2026-08-14T17:03:42Z,25355bfe,2000,fail,10,0,1.0,1.0
x86_64-prod-20260814T171540Z-smoke,2026-08-14T17:15:40Z,25355bfe,2000,pass,10,0,1.0,1.0
x86_64-prod-20260814T174716Z-smoke,2026-08-14T17:47:16Z,6efaa705,1000,pass,10,0,1.0,1.0
x86_64-prod-20260814T175226Z-smoke,2026-08-14T17:52:26Z,e6ee079e,500,pass,10,0,1.0,1.0
x86_64-prod-20260814T175636Z-smoke,2026-08-14T17:56:36Z,97a55434,250,pass,10,0,1.0,1.0
x86_64-prod-20260814T180117Z-smoke,2026-08-14T18:01:17Z,ecfdd2b4,0,fail,10,10,0.0,0.0
x86_64-prod-20260814T180903Z-smoke,2026-08-14T18:09:03Z,44486fb2,125,pass,10,0,1.0,1.0
x86_64-prod-20260814T181328Z-smoke,2026-08-14T18:13:28Z,5d49d27b,60,pass,10,0,1.0,1.0
x86_64-prod-20260814T185114Z-smoke,2026-08-14T18:51:14Z,5341ff26,30,pass,10,0,1.0,1.0
x86_64-prod-20260814T185434Z-smoke,2026-08-14T18:54:34Z,c3f050c8,15,fail,10,10,0.0,0.0
x86_64-prod-20260814T190033Z-soak,2026-08-14T19:00:33Z,97a55434,250,pass,30,0,1.0,1.0
